,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
18,NA,Yes,Beer & Wine Only,NA,Casual,NA,Cafes; Coffee & Tea; Tabletop Games; ,No,No,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,No,Yes,No,NA,Free,Under $10,Hex & Company,Morningside Heights,4.5,31,10025,2871 Broadway
19,NA,No,No,NA,Casual,Yes,Food Trucks; Chinese; ,No,No,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,NA,NA,NA,Loud,No,Street,Yes,No,NA,NA,No,Under $10,Uncle Luoyang,Morningside Heights,3.5,30,10027,3010 Broadway
20,NA,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mediterranean; Pizza; Venues & Event Spaces; ,Yes,NA,NA,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Marlow Bistro,Manhattan Valley,4,223,10025,1018 Amsterdam Ave
21,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Ramen; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,NA,NA,No,$11-30,Jin Ramen - West Harlem,Harlem,4,977,10027,3183 Broadway
22,NA,Yes,Full Bar,Casual,Casual,Yes,Burgers; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Loud,Yes,Street,Yes,Yes,Yes,NA,No,$11-30,MelŠ—Ès Burger Bar,Morningside Heights,3.5,669,10025,2850 Broadway
23,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Southern; Soul Food; ,Yes,No,No,Yes,"Brunch, Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Amy RuthŠ—Ès,Harlem,4,2322,10026,113 W 116th St
24,No,Yes,No,Casual,Casual,No,Hot Pot; Chinese; ,No,No,No,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,No,Yes,Yes,Yes,Free,$11-30,Red Hot Hot Pot,Manhattan Valley,4,50,10025,1000 Columbus Ave
25,NA,Yes,Full Bar,Casual,Casual,Yes,American (New); Breakfast & Brunch; Bars; ,No,No,NA,Yes,Brunch,Yes,Yes,No,NA,Yes,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,No,Yes,NA,No,$11-30,Community Food & Juice,Morningside Heights,3.5,844,10025,2893 Broadway
26,No,Yes,Full Bar,NA,Dressy,No,French; Wine Bars; ,No,Yes,No,NA,NA,Yes,No,Yes,NA,Yes,Yes,No,C,NA,NA,NA,Yes,NA,Yes,Yes,Yes,No,No,$31-60,Amelie,Upper West Side,4.5,91,10024,566 Amsterdam Ave
27,NA,Yes,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Yes,NA,Yes,Free,NA,Atlas Kitchen,Manhattan Valley,4,28,10025,258 W 109th St
28,No,Yes,Beer & Wine Only,NA,NA,Yes,American (New); Beer Bar; ,No,No,No,Yes,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,No,Street,Yes,No,Yes,Yes,Free,NA,Harlem Ale House,Harlem,5,14,10027,101 W 127th St
29,No,Yes,Full Bar,Casual,Casual,No,Seafood; Bars; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,Yes,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,No,No,Paid,$11-30,LoloŠ—Ès Seafood Shack,Harlem,4,571,10026,303 W 116th St
30,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Vegan; Soul Food; Kosher; ,Yes,Yes,No,Yes,"Dinner, Dessert",Yes,Yes,NA,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Seasoned Vegan,Harlem,4,904,10026,55 St Nicholas Ave
31,No,Yes,No,"Casual, Trendy",Casual,Yes,Vietnamese; Thai; ,Yes,No,No,NA,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,No,NA,Yes,Yes,Average,Yes,Private Lot,Yes,Yes,Yes,Yes,No,$11-30,SEAK,NA,4,266,7020,725 River RdUnit 30
32,No,Yes,Beer & Wine Only,NA,NA,Yes,American (New); Beer Bar; ,No,No,No,Yes,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,No,Street,Yes,No,Yes,Yes,Free,NA,Harlem Ale House,Harlem,5,14,10027,101 W 127th St
33,NA,Yes,Full Bar,Casual,Casual,Yes,Italian; Breakfast & Brunch; Cocktail Bars; ,No,No,NA,Yes,Brunch,Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,"Garage, Street",Yes,Yes,NA,NA,Free,$11-30,Lido,Harlem,4,865,10026,2168 Frederick Douglass Blvd
34,NA,Yes,No,Casual,Casual,Yes,Salad; Vegetarian; ,No,No,NA,Yes,Lunch,No,Yes,NA,NA,NA,NA,No,A,NA,Yes,Loud,No,NA,Yes,No,No,NA,Free,$11-30,sweetgreen,Morningside Heights,3,152,10025,2937 Broadway
35,NA,Yes,Beer & Wine Only,Casual,NA,Yes,Korean; Chicken Wings; ,Yes,Yes,No,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,Koko Wings,Manhattan Valley,3.5,272,10025,248 W 106th St
36,NA,Yes,Full Bar,Casual,Casual,Yes,Pizza; Italian; ,Yes,Yes,NA,NA,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Bettolona,Harlem,4,275,10027,3143 Broadway
37,NA,Yes,No,NA,Casual,NA,Chinese; ,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,NA,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Free,$11-30,River House Chinese Cuisine,NA,4,58,7020,725 River Rd
38,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Malaysian; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Malaysia Grill,Manhattan Valley,4,260,10024,224 W 104th St
39,No,Yes,No,NA,NA,Yes,Tapas/Small Plates; Mediterranean; ,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,Yes,Street,Yes,Yes,Yes,NA,Free,NA,Meyhane,NA,4.5,11,7010,671 Palisade Ave
40,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,American (Traditional); Soul Food; Breakfast & Brunch; ,No,No,NA,Yes,"Brunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,BLVD Bistro,Harlem,4,626,10027,239 Lenox Ave
41,NA,Yes,Full Bar,"Trendy, Intimate, Romantic, Classy",Casual,No,Bars; New Mexican Cuisine; Tapas Bars; ,No,No,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,La Diagonal,Harlem,4,141,10026,185 St Nicholas Ave
42,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Korean; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Mokja,Manhattan Valley,4,118,10025,852 Amsterdam
43,NA,Yes,NA,NA,NA,NA,Poke; Sushi Bars; ,NA,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,Yes,NA,No,NA,Yes,No,NA,NA,Free,$11-30,Hula Poke,Morningside Heights,4,35,10025,1028 Amsterdam Ave
44,NA,No,No,Casual,Casual,Yes,Pizza; ,No,Yes,NA,NA,"Lunch, Late Night",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,No,NA,No,Under $10,Koronet Pizza,Morningside Heights,3.5,583,10025,2848 Broadway
45,NA,Yes,Full Bar,"Intimate, Romantic",Casual,Yes,French; ,Yes,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,NA,Yes,Yes,Average,Yes,Street,No,Yes,Yes,No,No,$31-60,Tastings Social Presents Mountain Bird,East Harlem,4.5,136,10029,251 E 110th St
46,No,Yes,Full Bar,Casual,Casual,Yes,Ethiopian; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Awash Ethiopian Restaurant,Manhattan Valley,4,428,10025,947 Amsterdam Ave
47,NA,Yes,No,Casual,NA,Yes,Cafeteria; Burgers; Breakfast & Brunch; ,Yes,No,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Loud,No,NA,Yes,No,No,NA,Free,$11-30,JJŠ—Ès Place,Morningside Heights,5,4,10027,511 W 114th St
48,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Italian; ,No,No,NA,Yes,Lunch,Yes,Yes,Yes,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,No,NA,NA,Free,$11-30,Max Caffe,Morningside Heights,3.5,213,10027,1262 Amsterdam Ave
49,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,"Garage, Street",Yes,Yes,Yes,Yes,Free,$11-30,Casa Mexicana,Manhattan Valley,4,170,10025,894 Amsterdam Ave
50,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Ramen; ,No,No,NA,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,No,C,NA,Yes,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Naruto Ramen,Manhattan Valley,4,197,10025,2634 Broadway
51,NA,Yes,NA,NA,NA,NA,Pizza; ,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,Under $10,Sliced By Harlem Pizza,Morningside Heights,3.5,16,10027,1215 Amsterdam Ave
52,NA,No,No,NA,Casual,Yes,Indian; Vegetarian; ,Yes,Yes,NA,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,Under $10,Doaba Deli,Manhattan Valley,4.5,215,10025,945 Columbus Ave
53,NA,Yes,No,NA,NA,No,Delis; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,Street,Yes,No,NA,NA,No,Under $10,Olive Tree Deli,Morningside Heights,4,33,10027,3060 Broadway
54,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Creperies; Desserts; Coffee & Tea; ,Yes,Yes,NA,NA,"Brunch, Dessert",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,Yes,Street,Yes,No,Yes,NA,Free,$11-30,Artopolis,Morningside Heights,3,272,10025,1090 Amsterdam Ave
55,No,Yes,Full Bar,"Casual, Trendy",Casual,No,Mexican; Latin American; Cocktail Bars; ,No,Yes,NA,Yes,"Brunch, Lunch, Dinner",Yes,No,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Average,No,Street,Yes,No,Yes,NA,Free,$11-30,Cantina Taqueria & Tequila Bar,Harlem,4,409,10026,1838 7th Ave
56,NA,Yes,Full Bar,NA,Casual,Yes,Southern; American (Traditional); Soul Food; ,Yes,Yes,No,Yes,"Brunch, Dinner",Yes,Yes,Yes,NA,NA,NA,No,C,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,MelbaŠ—Ès,Harlem,4,871,10026,300 W 114th St
57,NA,Yes,Beer & Wine Only,NA,Casual,NA,Pizza; Italian; ,NA,Yes,NA,NA,Lunch,No,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,No,Yes,No,$11-30,MAMAŠ—ÈS TOO!,Manhattan Valley,4,96,10025,2750 Broadway
58,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Vegan; Soul Food; Kosher; ,Yes,Yes,No,Yes,"Dinner, Dessert",Yes,Yes,NA,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Seasoned Vegan,Harlem,3.916666667,205.968254,10264.38889,56 St Nicholas Ave
59,NA,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Cajun/Creole; Seafood; Southern; ,No,Yes,NA,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,Yes,Yes,Free,$11-30,Loui Loui,Harlem,4,87,10027,3147 Broadway
60,NA,Yes,No,Casual,Casual,Yes,African; Halal; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,NA,Yes,Yes,Yes,Yes,Free,$11-30,Safari Restaurant NYC,Harlem,4.5,155,10026,219 W 116th St
61,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,"Garage, Street",Yes,Yes,Yes,Yes,Free,$11-30,Casa Mexicana,Manhattan Valley,4,170,10025,894 Amsterdam Ave
62,NA,Yes,Beer & Wine Only,NA,Casual,Yes,Mexican; ,Yes,Yes,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,NA,Yes,No,NA,NA,No,$11-30,Oaxaca Taqueria,Morningside Heights,3,49,10027,1264 Amsterdam Ave
63,NA,Yes,No,Casual,Casual,Yes,Indian; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,B,NA,NA,Average,No,Street,Yes,No,No,NA,No,Under $10,Chapati House,Harlem,4,195,10027,3153 Broadway
64,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Creperies; Desserts; Coffee & Tea; ,Yes,Yes,NA,NA,"Brunch, Dessert",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,Yes,Street,Yes,No,Yes,NA,Free,$11-30,Artopolis,Morningside Heights,3,272,10025,1090 Amsterdam Ave
65,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Malaysian; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Malaysia Grill,Manhattan Valley,4,260,10024,224 W 104th St
66,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Greek; Mediterranean; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,Yes,"Garage, Street",Yes,Yes,NA,NA,Free,$11-30,Greek Taverna,NA,3.5,208,7020,55 The Promenade
67,NA,Yes,Beer & Wine Only,NA,Casual,NA,Pizza; Italian; ,NA,Yes,NA,NA,Lunch,No,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,No,Yes,No,$11-30,MAMA‰ÛªS TOO!,Manhattan Valley,4,96,10025,2750 Broadway
68,NA,Yes,No,Casual,Casual,Yes,Mexican; Breakfast & Brunch; ,No,Yes,NA,NA,Breakfast,No,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,No,NA,Yes,No,No,NA,No,Under $10,Panchos,Manhattan Valley,4.5,56,10025,964 Amsterdam Ave
69,NA,No,No,Casual,Casual,Yes,Pizza; ,No,Yes,NA,NA,"Lunch, Late Night",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,No,NA,No,Under $10,Koronet Pizza,Morningside Heights,3.5,583,10025,2848 Broadway
70,NA,Yes,Full Bar,Casual,Casual,No,Italian; Desserts; Wine Bars; ,Yes,Yes,NA,NA,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,NA,Loud,Yes,Street,Yes,Yes,NA,NA,Free,$11-30,Carmine‰Ûªs Italian Restaurant - Upper West Side,Upper West Side,4,1155,10024,2450 Broadway
71,No,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Vegan; Soul Food; Kosher; ,Yes,Yes,No,Yes,"Dinner, Dessert",Yes,Yes,NA,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Seasoned Vegan,Harlem,4,904,10026,55 St Nicholas Ave
72,No,Yes,No,Casual,Casual,No,Korean; Barbeque; Seafood; ,No,No,No,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,NA,NA,Yes,Average,Yes,Private Lot,Yes,No,Yes,Yes,No,$11-30,SGD Dubu So Gong Dong Tofu & BBQ,NA,4,122,7020,725 River RdUnit 45
