,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
18,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Thai Terminal,East Village,3.5,540,10003,349 E 12th St
19,No,Yes,Full Bar,"Casual, Trendy",Casual,No,Seafood; Thai; Live/Raw Food; ,Yes,Yes,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Fish Cheeks,NoHo,4.0,292,10012,55 Bond St
20,NA,Yes,Full Bar,Casual,Casual,No,Filipino; Thai; Asian Fusion; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,No,Yes,NA,NA,No,$11-30,Pig and Khao,Lower East Side,4.0,1368,10002,68 Clinton St
21,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Kati Thai Cuisine,"Gramercy, East Village, Stuyvesant Town",4.0,227,10003,347 E 14th St
22,NA,Yes,Full Bar,Casual,Casual,Yes,Thai; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,Yes,NA,NA,Yes,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Thailand Cafe,East Village,3.5,313,10003,95 2nd Ave
23,NA,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Thai; ,No,Yes,NA,NA,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,NA,No,$11-30,Klong,East Village,3.5,1010,10003,7 St Marks Pl
24,NA,Yes,Full Bar,Casual,Casual,Yes,Vietnamese; Thai; Asian Fusion; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,Yes,No,$11-30,Ginger and Lemongrass,Lower East Side,4.5,211,10002,153 Rivington St
25,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; ,NA,Yes,NA,NA,"Lunch, Dinner",No,No,NA,NA,NA,NA,No,C,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Tai Thai,East Village,3.5,203,10009,78 E 1st St
26,No,Yes,No,Casual,Casual,No,Thai; ,Yes,Yes,No,NA,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Quiet,No,"Street, Private Lot",Yes,No,Yes,No,Free,$11-30,Thailicious,Chinatown,4.0,226,10013,75 Baxter St
27,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Sushi Bars; Japanese; Thai; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,Yes,Yes,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Zest Sushi,Lower East Side,4.0,742,10002,249 Broome St
28,No,Yes,Beer & Wine Only,"Intimate, Romantic, Classy",NA,No,Thai; Asian Fusion; Chicken Wings; ,Yes,Yes,No,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Pinto Garden,West Village,4.0,148,10011,117 W 10th St
29,No,No,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Malaysian; Thai; ,Yes,Yes,No,Yes,"Brunch, Lunch, Dinner, Dessert",Yes,Yes,No,Yes,NA,Yes,No,B,Yes,Yes,Average,No,Street,Yes,Yes,Yes,No,Free,$11-30,Wok Wok,"Chinatown, Civic Center",4.0,633,10013,11 Mott St
30,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Thai; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Thai Jasmine Resturant,Chinatown,3.5,353,10013,106 Bayard St
31,NA,Yes,No,Casual,Casual,Yes,Thai; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,Free,$11-30,Lan Larb Soho,Little Italy,3.5,191,10013,227 Centre St
