,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
101,Devon and Blakely,185 Greenwich StLower Level,10007,2,4.0,Financial District,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Breakfast & Brunch; Sandwiches; Acai Bowls; ,NA,NA,NA,NA,NA,NA,NA
102,Bingo Deli,77 Pearl St,10005,67,4.0,Financial District,A,Under $10,NA,No,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,No,NA,Average,No,NA,Yes,No,No,NA,NA,NA,Delis; Salad; Sandwiches; ,NA,NA,NA,NA,"Breakfast, Lunch",Casual,NA
103,Doner Kebab NYC,34 Willoughby St,11201,126,4.5,Downtown Brooklyn,A,$11-30,NA,No,Yes,Yes,Yes,No,Street,No,Yes,Yes,Yes,Casual,Average,No,NA,No,Free,No,No,No,Yes,Mediterranean; Turkish; Kebab; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
104,Harry’s,1 Hanover Sq,10004,609,4.0,Financial District,A,$31-60,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,No,No,No,No,NA,Yes,Yes,Steakhouses; Cafes; Bars; ,NA,NA,NA,NA,Brunch,Classy,NA
105,Ravioli Fair,Wall St,10005,1,5.0,Financial District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food Trucks; Italian; ,NA,NA,NA,NA,NA,NA,NA
106,Westville - Wall St,110 Wall St,10005,115,4.0,Financial District,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Casual,Very Loud,Full Bar,Yes,Yes,Free,No,No,Yes,Yes,American (Traditional); Breakfast & Brunch; Bars; ,NA,NA,Yes,NA,"Brunch, Lunch, Dinner",Casual,Yes
107,Whitehall Deli,27 Whitehall St,10004,1,3.0,Financial District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Delis; ,NA,NA,NA,NA,NA,NA,NA
108,Fraunces Tavern,54 Pearl St,10004,748,3.5,Financial District,A,$11-30,NA,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,No,No,No,NA,Yes,No,American (Traditional); Bars; Breakfast & Brunch; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
109,Blimpie,"69 Nassau St, a/k/a 29 John St",10038,14,3.5,Financial District,A,Under $10,Yes,No,Yes,Yes,Yes,NA,NA,No,NA,Yes,No,NA,Loud,No,NA,No,No,No,NA,No,No,Sandwiches; ,NA,NA,Yes,NA,Lunch,NA,NA
110,West Bank Gourmet,21 West St,10006,32,4.0,Financial District,NA,Under $10,NA,No,Yes,Yes,Yes,No,NA,No,Yes,Yes,No,NA,Quiet,No,NA,No,No,No,Yes,No,Yes,Delis; ,NA,NA,NA,NA,NA,NA,NA
111,New Blue Chips,28 Broadway,10004,1,4.0,Financial District,NA,Under $10,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,NA,NA,NA,Delis; ,NA,NA,NA,NA,NA,NA,NA
