,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,Hygiene_score,price_range,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Apple Pay,Accepts Google Pay,Accepts Bitcoin,Good For,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Ambience,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Gender Neutral Restrooms,Has Dairy-free Options,Liked by Vegetarians,Liked by Vegans,Good For Dancing,Best Nights,Good for Working,Has Pool Table,Open to All,Coat Check,Has Soy-free Options,Has Gluten-free Options,Smoking,Has Kosher Options,Offers Military Discount
111,Cafe De Novo,94 1/2 Greenwich St,10006,82,3.0,A,$11-30,No,Yes,Yes,Yes,No,No,No,"Lunch, Late Night",NA,Yes,NA,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,NA,No,Free,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Oiji,119 1st Ave,10003,431,4.5,A,$31-60,Yes,No,No,Yes,No,NA,NA,Dinner,Street,Yes,NA,No,Yes,Casual,Trendy,Average,Full Bar,NA,No,No,No,NA,Yes,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Thursday Kitchen,424 E 9th St,10009,1049,4.5,A,$11-30,No,No,No,Yes,No,No,No,Dinner,Street,No,No,No,Yes,Casual,"Casual, Trendy",Average,Beer & Wine Only,No,No,No,No,No,Yes,No,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Bonchon - Brooklyn,68 Willoughby Street,11201,55,3.5,A,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,No,No,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,To Two Boonsik,97 Canal St,10002,114,4.0,A,$11-30,No,No,Yes,No,No,No,No,"Lunch, Dinner",NA,No,Yes,Yes,Yes,Casual,Casual,Quiet,No,NA,No,No,No,No,No,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,K’OOK,324 E 6th St,10003,369,4.0,A,$11-30,Yes,Yes,Yes,Yes,No,No,NA,"Lunch, Dinner",Street,Yes,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,NA,No,Free,No,No,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Cafe Arte,75 Wall St,10005,38,3.5,NA,Under $10,No,Yes,Yes,Yes,NA,NA,NA,"Brunch, Lunch",NA,Yes,NA,Yes,Yes,NA,NA,Average,No,NA,No,No,No,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Tofu Tofu,96 Bowery,10013,226,4.5,A,$11-30,Yes,Yes,Yes,Yes,No,NA,No,"Brunch, Lunch, Dinner",Street,No,Yes,Yes,Yes,Casual,Casual,Average,No,NA,No,Free,No,No,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Azumma,265 Canal St,10013,1,5.0,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Cuisine K,242-258 Greenwich St,10007,11,3.5,NA,Under $10,No,No,Yes,No,No,NA,NA,Lunch,NA,Yes,NA,Yes,Yes,Casual,NA,NA,No,NA,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Ms Yoo,163 Allen St,10002,93,4.0,A,$31-60,Yes,Yes,Yes,Yes,NA,NA,NA,Dinner,Street,No,Yes,No,Yes,Casual,"Trendy, Intimate",Average,Full Bar,Yes,No,Free,No,NA,Yes,NA,NA,NA,NA,NA,No,"Mon, Thu, Sun",NA,No,NA,No,NA,NA,No,NA,NA
122,Soogil,108 E 4th St,10003,62,4.0,NA,$31-60,Yes,No,Yes,Yes,NA,NA,No,NA,Street,No,No,No,Yes,Casual,NA,Average,Beer & Wine Only,NA,No,Free,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Koritori,253 Church St,10013,2,4.0,NA,Under $10,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,No,Casual,NA,NA,No,NA,No,NA,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Kimchi Taco,NA,10281,226,3.0,NA,Under $10,No,No,Yes,No,No,No,NA,Lunch,Street,Yes,NA,Yes,Yes,Casual,Casual,Average,No,NA,Yes,No,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Kuu Ramen,20 John St,10038,510,3.5,A,$11-30,No,Yes,Yes,Yes,No,NA,NA,"Lunch, Dinner",NA,No,NA,No,No,Casual,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Pokebab,80 Broad St,10004,33,4.5,A,$11-30,No,Yes,Yes,Yes,NA,NA,No,Lunch,Street,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,No,Free,No,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,noodlelove,192 Mott St,10012,25,4.0,NA,NA,No,No,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Beer & Wine Only,No,No,Free,No,NA,No,No,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
128,Go! Go! Curry!,12 John StWorld Trade Center Stadium,10038,329,4.0,A,Under $10,No,Yes,Yes,Yes,No,No,NA,Lunch,Street,Yes,NA,Yes,No,Casual,Casual,Average,No,No,No,No,Yes,NA,NA,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Chikarashi,227 Canal St,10013,454,4.0,A,$11-30,No,Yes,Yes,Yes,No,Yes,NA,Lunch,Street,Yes,NA,Yes,No,Casual,"Casual, Trendy",Average,No,NA,No,Free,No,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,OBAO,38 Water St,10004,189,3.0,B,$11-30,No,Yes,Yes,Yes,NA,No,NA,Lunch,Street,Yes,NA,No,No,Casual,Casual,Average,No,NA,No,No,No,NA,No,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Poke Bowl,104 Fulton St,10038,254,4.0,A,$11-30,No,Yes,Yes,Yes,No,No,NA,Lunch,NA,Yes,Yes,Yes,No,Casual,"Casual, Trendy",Average,No,NA,No,No,No,NA,No,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Korilla BBQ,2 MetroTech CtrMetrotech Campus,11201,44,3.5,A,$11-30,No,Yes,Yes,Yes,NA,NA,NA,Lunch,NA,NA,NA,No,Yes,NA,NA,NA,No,NA,No,Free,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Fishmarket Restaurant,111 South St,10038,464,4.5,NA,$11-30,Yes,Yes,Yes,Yes,No,No,NA,"Dinner, Late Night",Street,Yes,NA,No,Yes,Casual,"Divey, Casual",Average,Full Bar,NA,No,Free,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,Danji,346 W 52nd St,10019,903,4.0,A,$31-60,Yes,Yes,Yes,Yes,No,NA,No,Dinner,Street,No,NA,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,No,NA,NA,No,Yes,NA,Yes,Yes,No,Mon,NA,NA,NA,NA,NA,NA,No,NA,NA
135,Red Poke,885 8th Ave,10019,11,4.5,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Barn Joo 35,34 W 35th St,10001,1238,4.5,A,$11-30,No,Yes,Yes,Yes,No,No,No,"Lunch, Dinner","Garage, Street",Yes,Yes,No,Yes,Casual,"Casual, Trendy",Average,Full Bar,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA
137,Handsome Rice,133 E 31st St,10016,18,4.0,NA,NA,No,Yes,Yes,Yes,No,No,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Hwaban,55 W 19th St,10011,47,4.5,NA,NA,Yes,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Bap,516A 3rd Ave,10016,49,4.5,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Casual,NA,Average,Full Bar,No,No,Free,No,No,Yes,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA
140,Woorijip Authentic Korean Food,12 W 32nd St,10001,2471,4.0,A,Under $10,No,No,Yes,Yes,No,No,No,"Lunch, Dinner",Street,No,NA,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA
141,H Mart,38 W 32nd St,10001,170,3.5,NA,$11-30,NA,NA,Yes,Yes,No,Yes,NA,NA,Street,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Red Poke,600 9th Ave,10036,452,4.5,B,$11-30,No,Yes,Yes,Yes,Yes,No,NA,"Lunch, Dinner",Street,No,Yes,Yes,Yes,Casual,"Casual, Trendy",Average,No,NA,No,Free,No,No,No,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA
