,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,Hygiene_score,price_range,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Apple Pay,Accepts Google Pay,Accepts Bitcoin,Good For,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Ambience,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Gender Neutral Restrooms,Has Dairy-free Options,Liked by Vegetarians,Liked by Vegans,Good For Dancing,Best Nights,Good for Working,Has Pool Table,Open to All,Coat Check,Has Soy-free Options,Has Gluten-free Options,Smoking,Has Kosher Options,Offers Military Discount
56,P.F. Chang’s,1978 E 21st St,74114,97,3.5,NA,$11-30,Yes,Yes,Yes,Yes,No,NA,NA,"Lunch, Dinner",Private Lot,Yes,NA,Yes,Yes,NA,Casual,Average,Full Bar,NA,Yes,No,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA
57,JINYA Ramen Bar,416 E 2nd St,74120,228,4.0,NA,$11-30,No,Yes,Yes,Yes,No,No,No,"Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Yes,Casual,"Hipster, Casual, Trendy",Average,Full Bar,Yes,No,No,Yes,NA,Yes,No,NA,NA,Yes,NA,No,"Wed, Sat, Sun",NA,No,NA,No,NA,NA,No,NA,NA
58,GiGi’s Kitchen,7105 S Yale Ave,74136,79,4.0,NA,$11-30,No,No,Yes,Yes,No,NA,NA,Lunch,Private Lot,No,NA,Yes,Yes,Casual,Casual,Quiet,No,NA,No,No,Yes,NA,Yes,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Pho Nhi Vietnamese Noodle House,11514 E 21st St,74129,99,4.0,NA,Under $10,No,No,Yes,Yes,No,NA,NA,"Lunch, Dinner",Private Lot,No,NA,Yes,Yes,Casual,Casual,Average,No,NA,No,No,Yes,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Kirin Asian Cuisine & Sushi,8041 S Mingo Rd,74133,96,4.0,NA,$11-30,Yes,Yes,Yes,Yes,NA,NA,No,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Trendy,Average,Full Bar,Yes,Yes,Free,Yes,No,Yes,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,KEO Restaurant,8921 S Yale Ave,74137,104,4.0,NA,$11-30,Yes,Yes,Yes,Yes,NA,NA,NA,"Lunch, Dinner",Private Lot,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Yes,Free,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Sushi Train,3300 E 51st St,74135,102,3.0,NA,$11-30,No,Yes,Yes,Yes,NA,NA,NA,"Lunch, Dinner",Private Lot,No,NA,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,NA,No,No,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Sake 2 Me Sushi,9205 E 71st St,74133,125,4.5,NA,$11-30,Yes,No,Yes,Yes,NA,NA,NA,"Lunch, Dinner",Private Lot,No,NA,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,NA,No,Free,Yes,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Yokozuna,309 E 2nd St,74120,271,3.5,NA,$11-30,Yes,No,Yes,Yes,No,NA,No,Dinner,Street,Yes,NA,No,Yes,Casual,Trendy,Average,Full Bar,Yes,No,Free,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Bamboo Thai Bistro,5079 S Yale Ave,74135,149,4.0,NA,$11-30,Yes,Yes,Yes,Yes,No,No,NA,"Lunch, Dinner",NA,No,NA,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
