,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
151,PMF Pardon My French,103 Ave B,10009,797,4.0,"Alphabet City, East Village",B,$11-30,Yes,Yes,No,Yes,Yes,NA,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,No,Yes,Yes,French; Cocktail Bars; Breakfast & Brunch; ,NA,NA,NA,NA,Brunch,Casual,Yes
152,The Gray Mare,61 2nd Ave,10003,53,4.5,East Village,A,$11-30,Yes,Yes,No,No,Yes,NA,NA,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,NA,Yes,NA,Cocktail Bars; American (Traditional); Lounges; ,Yes,NA,NA,Yes,"Dinner, Late Night",Casual,NA
153,Westville - East,173 Ave A,10009,989,4.0,"East Village, Alphabet City",A,$11-30,Yes,No,Yes,Yes,Yes,No,Street,Yes,Yes,Yes,No,Casual,Average,Beer & Wine Only,Yes,No,No,No,No,NA,Yes,American (Traditional); Beer Bar; Bakeries; ,NA,NA,Yes,NA,"Brunch, Dinner",Casual,Yes
154,Feast,102 3rd Ave,10003,426,4.0,East Village,A,$31-60,Yes,Yes,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,No,Free,No,NA,Yes,No,American (New); Breakfast & Brunch; Bars; ,NA,NA,NA,NA,"Brunch, Dinner",NA,Yes
155,POST,42 Ave B,10009,175,4.5,"Alphabet City, East Village",A,$11-30,Yes,No,No,Yes,Yes,NA,Street,Yes,Yes,No,No,Casual,Average,Full Bar,NA,No,Free,No,NA,Yes,Yes,Breakfast & Brunch; American (Traditional); ,NA,NA,NA,NA,"Breakfast, Brunch, Lunch","Casual, Intimate",Yes
156,Linen Hall,101 3rd Ave,10003,156,4.0,East Village,NA,$11-30,NA,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,Yes,No,Yes,NA,Yes,Yes,Bars; American (Traditional); ,NA,NA,NA,NA,Dinner,Casual,NA
157,Ichabod’s,15 Irving Pl,10003,551,4.0,"Union Square, Gramercy, Flatiron",NA,$11-30,NA,Yes,No,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,No,No,No,NA,NA,No,American (New); Breakfast & Brunch; ,NA,NA,NA,NA,Dinner,Casual,NA
158,Fiaschetteria Pistoia,647 E 11th St,10009,116,4.5,"Alphabet City, East Village",A,$11-30,NA,Yes,No,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,Yes,Yes,Free,No,NA,Yes,No,Wine Bars; Tuscan; ,NA,NA,NA,NA,Dinner,"Casual, Intimate",NA
159,Momofuku Ko,8 Extra Pl,10003,248,4.5,East Village,A,Above $61,NA,Yes,No,No,Yes,NA,Street,No,Yes,No,No,Casual,Average,Full Bar,No,No,No,No,NA,Yes,No,American (New); ,NA,NA,NA,NA,Dinner,Trendy,Yes
160,Joe & Pat’s Pizzeria,168 1st Ave,10009,65,4.0,East Village,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Casual,NA,Full Bar,NA,No,Free,No,NA,Yes,Yes,Pizza; Italian; Wine Bars; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
