,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighborhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address,Source
437,,Yes,Beer & Wine Only,,,Yes,Chinese; Noodles; ,Yes,Yes,,,,No,Yes,Yes,,,,Yes,A,,,,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Dun Huang,Morningside Heights,4.0,37.0,10027,1268 Amsterdam Ave,Chinese
438,,Yes,Full Bar,Casual,Casual,Yes,Dim Sum; Cantonese; Asian Fusion; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,,Yes,,No,$31-60,RedFarm,Upper West Side,3.5,544.0,10024,2170 Broadway,Chinese
439,,Yes,No,,Casual,No,Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,Loud,No,,Yes,No,,,,Under $10,New Kam Lai Chinese,Upper West Side,2.5,53.0,10025,708 Amsterdam Ave,Chinese
440,,Yes,No,,Casual,Yes,Chinese; Imported Food; ,No,Yes,,,Lunch,Yes,Yes,,,,,No,A,,,Loud,No,,Yes,No,No,,No,Under $10,Empire,Harlem,3.5,22.0,10039,1902 Adam Clayton Powell Jr Blvd,Chinese
441,,Yes,,,Formal (Jacket Required),,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,,,,,No,,Yes,Yes,,,,Above $61,Zheng?s River Restaurant,Harlem,4.0,1.0,10026,2076 Frederick Douglass B,Chinese
442,,,,,Casual,,Chinese; ,,,,,,,,,,,,,A,,,,,,,,,,,,Benny?s Lung Sheng,Manhattan Valley,2.0,4.0,10025,906 Columbus Ave,Chinese
444,,Yes,,,Casual,Yes,Chinese; ,,Yes,,,,No,Yes,,,,,,A,,,Average,No,,Yes,,,,,Under $10,Peking Kitchen II,Harlem,3.5,18.0,10026,2162 8th Ave,Chinese
445,,No,No,,Casual,Yes,Chinese; ,,Yes,,,Dinner,Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,No,,No,$11-30,Mei Chung Mei Restaurant,Kingsbridge,4.0,15.0,10463,157 W 231st St,Chinese
446,,Yes,No,,Casual,Yes,Chinese; ,Yes,Yes,,,,No,Yes,,,,,No,A,,,Average,No,,Yes,No,,,,$11-30,China Wang,Marble Hill,3.5,7.0,10463,109 W 225th St,Chinese
447,,Yes,No,Casual,Casual,No,Chinese; ,,No,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,,,,Under $10,Little China City,Fordham,4.5,20.0,10458,371 E Fordham Rd,Chinese
448,,Yes,No,,Casual,Yes,Chinese; ,Yes,Yes,,,"Lunch, Dinner",No,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,,,No,Under $10,Lotus Express,"Inwood, Washington Heights",4.0,50.0,10034,4840 Broadway,Chinese
449,,No,No,,Casual,,Chinese; American (New); ,,Yes,,,,Yes,Yes,,,,,,A,,,,No,,Yes,No,,,No,Under $10,Panda Restaurant,Kingsbridge,3.5,10.0,10463,5625 Broadway,Chinese
450,,No,,,Casual,,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,A,,,,No,,Yes,No,,,No,Under $10,Double Dragon Restaurant,Bedford Park,4.0,15.0,10468,2647 Jerome Ave,Chinese
451,,No,No,,Casual,No,Chinese; ,No,Yes,,,,Yes,Yes,,,,,No,A,,,,No,,Yes,No,,,No,Under $10,Good Taste Chinese Restaurant,Fordham,5.0,1.0,10458,209 E 183rd St,Chinese
452,,Yes,No,,Casual,Yes,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,A,,,,No,,Yes,No,,Yes,No,Under $10,New Kam Sheng,Riverdale,3.5,19.0,10463,454 W 238th St,Chinese
453,,Yes,Full Bar,Casual,Casual,Yes,Kosher; Japanese; Chinese; ,Yes,Yes,,,Lunch,Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Kai Fan Asian Cuisine,Riverdale,3.5,32.0,10463,3717 Riverdale Ave,Chinese
454,,Yes,No,Casual,Casual,Yes,Asian Fusion; Vietnamese; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,,Quiet,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Moon Star Grill,Riverdale,4.0,82.0,10463,3519-25 Johnson Ave,Chinese
455,,,,,Casual,,Chinese; ,,Yes,,,,Yes,Yes,,,,,,,,,,No,,Yes,No,,,,Under $10,Hung Ying Chinese Take Out,Fordham,3.5,3.0,10458,342 E 188th St,Chinese
456,,Yes,No,Casual,Casual,Yes,Chinese; ,No,Yes,,,"Lunch, Dinner",No,Yes,,,,,No,A,,,Quiet,No,Street,Yes,No,,,No,$11-30,Amy?s Restaurant,"Inwood, Washington Heights",3.5,99.0,10034,586 W 207th St,Chinese
457,,No,No,,Casual,Yes,Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,Quiet,No,,Yes,No,,,No,Under $10,Golden City Chinese Takeout,Kingsbridge,3.5,11.0,10463,238 W 231st St,Chinese
458,,No,,,Casual,,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,A,,,,No,,Yes,No,,,,Under $10,Wai Kang Restaurant,Bedford Park,3.5,12.0,10468,39 Bedford Park Blvd,Chinese
459,,Yes,No,,Casual,,Chinese; ,Yes,Yes,,,,No,Yes,,,,,No,A,,,Quiet,No,Street,Yes,No,,,No,Under $10,Hang Lee Chinese,"Inwood, Washington Heights",4.0,24.0,10034,666 W 204th St,Chinese
460,,No,No,Casual,Casual,,Chinese; ,No,Yes,,,,No,Yes,,,,,No,A,,,Average,No,Street,Yes,No,,,No,Under $10,Panda House,Washington Heights,3.0,23.0,10040,82 Nagle Ave,Chinese
461,,No,No,,Casual,No,Chinese; Bubble Tea; ,No,Yes,,,,No,Yes,,,,,No,A,,,Quiet,No,Street,Yes,Yes,,,No,Under $10,Mei Mei Restaurant,Bedford Park,3.5,43.0,10468,2833 Grand Concourse,Chinese
462,,Yes,No,,Casual,Yes,Tex-Mex; Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,Average,No,,Yes,No,No,,,$11-30,No. 1 Restaurant,Washington Heights,3.5,20.0,10040,4480 Broadway,Chinese
463,,,,,,,Chinese; ,,,,,,,,,,,,,A,,,,,,,,,,,Under $10,Great Wall Chinese Food,Fordham,4.5,3.0,10468,2359 Grand Concourse,Chinese
464,,,,,,,Chinese; ,,,,,,,Yes,,,,,No,A,,,,,,,No,,,,Under $10,Happy Garden,Bedford Park,4.0,3.0,10458,277 E Kingsbridge Rd,Chinese
465,,Yes,,,,,Chinese; Asian Fusion; ,,Yes,,,,Yes,No,,,,,,,,,,,,Yes,,,,,,Chinito Latino,Washington Heights,3.5,17.0,10040,122 Dyckman St,Chinese
466,,,,,,,Chinese; ,,,,,,,,,,,,,A,,,,No,,,No,,,,,Lin Home Chinese Restaurant,Bedford Park,4.0,7.0,10468,2461 University Ave,Chinese
467,,Yes,No,,Casual,Yes,Japanese; Chinese; ,No,Yes,,,,No,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Empire 19,Riverdale,2.5,27.0,10463,19A Knolls Crescent,Chinese
468,,Yes,No,Divey,Casual,Yes,Chinese; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,,Yes,Average,No,Street,Yes,No,,,No,Under $10,U Like Chinese Take Out,"Inwood, Washington Heights",3.0,67.0,10034,4926 Broadway,Chinese
469,,No,No,,Casual,Yes,Chinese; ,No,Yes,,,,Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Foo Hing Kitchen,Kingsbridge,4.0,11.0,10468,2895 Sedgwick Ave,Chinese
470,,Yes,No,,Casual,,Chinese; ,No,Yes,,,,No,Yes,,,,,No,A,,,Loud,No,,Yes,No,,,No,Under $10,New Luen Hing,Kingsbridge,2.0,20.0,10463,3010 Bailey Ave,Chinese
471,,No,No,,Casual,,Cantonese; ,,Yes,,,,Yes,Yes,,,,,No,,,,Loud,No,,Yes,No,,,No,Under $10,Number One Restaurant,Bedford Park,3.0,2.0,10468,64 W Kingsbridge Rd,Chinese
472,,No,No,,Casual,Yes,Chinese; Japanese; Thai; ,No,Yes,,,,Yes,Yes,,,,,No,A,,Yes,Average,No,,Yes,No,,,No,Under $10,Pick Up Six,Kingsbridge,3.0,6.0,10463,221 W 230th St,Chinese
473,,Yes,,,Casual,,Chinese; ,,Yes,,,,Yes,Yes,,,,,No,,,,,No,,Yes,No,,,No,Under $10,China Sea,Washington Heights,2.5,12.0,10040,200 Dyckman St,Chinese
493,,No,,,,,Chinese; Seafood; ,,Yes,,,,No,No,,,,,,A,,,,,,Yes,,,,No,,Yeung Hing Restuarant,Kingsbridge,4.0,1.0,10463,3650 Bailey Ave,Chinese
494,,,,,Casual,No,Chinese; ,,Yes,,,,No,Yes,,,,,,A,,,,,,Yes,,,,,,Number 8 Chinese Restaurant,University Heights,3.0,1.0,10468,176 W Fordham Rd,Chinese
495,,No,No,,Casual,,Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,,No,,Yes,No,,,No,Under $10,Lucky Star,Mount Hope,3.0,3.0,10468,145 W Kingsbridge Rd,Chinese
496,,,,,Casual,,Chinese; ,,,,,,,,,,,,,A,,,Loud,,,,,,,,,Pioneer Chinese Restaurant,Kingsbridge,3.5,3.0,10463,223 W 231st St,Chinese
497,,,No,,Casual,No,Chinese; ,Yes,Yes,,,"Dinner, Late Night",No,No,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Hong Kong Kitchen,Bedford Park,3.5,2.0,10458,214 E 198th St,Chinese
498,,,,,,,Chinese; ,,,,,,,,,,,,,A,,,,,,,,,,,,China Wok II,East Tremont,4.0,1.0,10458,2461 Webster Ave,Chinese
499,,,,,,,Chinese; ,,Yes,,,,,,,,,,,A,,,,,,,,,,,,China City,Fordham,1.0,1.0,10458,308 E 188th St,Chinese
500,,Yes,,,Formal (Jacket Required),No,Chinese; ,,Yes,,,,No,No,,,,,,A,,,,,,Yes,No,,,,$11-30,Golden Gate Restaurant,Kingsbridge,2.0,8.0,10463,300 W 231st St,Chinese
501,,,,,,,Chinese; ,,Yes,,,,,,,,,,,A,,,,,,Yes,,,,,Under $10,Hong Kong Restaurant,Fordham,2.5,3.0,10453,30 W 183rd St,Chinese
502,,No,No,,Casual,Yes,Chinese; ,No,Yes,,,,No,Yes,,,,,No,,,,Average,No,,Yes,No,,,No,$11-30,New Yung Hong Chinese Restaurant,Kingsbridge,2.5,4.0,10463,2800 Bailey Ave,Chinese
522,,No,,,Casual,,Chinese; ,,Yes,,,,Yes,,,,,,,A,,,,,,Yes,No,,,,Under $10,China Wok Restaurant,Bedford Park,,,10468,47 E Kingsbridge Rd,Chinese
523,,Yes,,,,,Chinese; ,,Yes,,,,No,Yes,,,,,,A,,,,No,,Yes,No,,,,,Ten-Tan Chinese Restaurant,"Inwood, Washington Heights",2.0,9.0,10034,3864 10th Ave,Chinese
524,,,,,,,Chinese; ,,,,,,,,,,,,,A,,,,,,,,,,,,King Wok,Bedford Park,,,10468,63 E Kingsbridge Rd,Chinese
525,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,1 Chinese Kitchen,Morris Heights,,,10468,145 W Kingsbridge Rd,Chinese
526,,Yes,,,,No,Chinese; Fast Food; ,,Yes,,,,Yes,Yes,,,,,No,A,,,,No,,Yes,No,,,,$11-30,Panda Express,Fordham,2.0,20.0,10468,1 W Fordham Rd,Chinese
527,,,,,,,Chinese; ,,,,,,,,,,,,,B,,,,,,,,,,,,New Peking Restaurant,Fordham,2.0,1.0,10453,26 E 183rd St,Chinese
528,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Room Restaurant,Fordham,,,10453,9 W 183rd St,Chinese
529,,Yes,No,,Casual,Yes,Chinese; ,,Yes,,,,Yes,No,,,,,No,,,,Average,No,,Yes,No,,,No,Under $10,Yeung?s Number 1 Chinese Restaurant,Washington Heights,2.0,9.0,10040,4486 Broadway,Chinese
530,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,New Garden Chinese Restaurant,Kingsbridge,,,10463,238 W 231st St,Chinese
531,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Mei Fung,Kingsbridge,,,10463,300 W 231st St,Chinese
551,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Zhu Yuan Chinese Kitchen,Bedford Park,,,10458,229 E Kingsbridge Rd,Chinese
552,,,,,,,Chinese; ,,,,,,,,,,,,,A,,,,,,,,,,,,New King Wah,Bedford Park,,,10458,2713 Briggs Ave,Chinese
553,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Fei Ming Chinese Restaurant,Washington Heights,,,10040,82 Nagle Ave,Chinese
554,,,,,,,Chinese; ,,,,,,,,,,,,,A,,,,,,,,,,,,Xin Xing Chinese Restaurant,Fordham,,,10458,2352 Tiebout Ave,Chinese
555,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Seven Star Restaurant,Kingsbridge,,,10463,5586 Broadway,Chinese
556,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Ou Yang,Washington Heights,,,10040,9 Nagle Ave,Chinese
558,No,Yes,No,Casual,Casual,Yes,Taiwanese; Chinese; Noodles; ,No,No,Yes,,"Lunch, Dinner",No,Yes,,Yes,,,No,A,Yes,Yes,Loud,No,Street,Yes,No,No,Yes,Free,$11-30,Very Fresh Noodles,"Meatpacking District, Chelsea",4.0,656.0,10011,425 W 15th St,Chinese
559,,,,,,,Noodles; Soup; ,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,Noodle Culture,"Meatpacking District, Chelsea",4.5,2.0,10014,353 W14th StSte 16,Chinese
562,,Yes,No,"Casual, Trendy, Romantic, Classy",,,Chinese; Barbeque; Noodles; ,Yes,No,,,,Yes,Yes,,,,,No,A,,Yes,,No,Street,Yes,Yes,,Yes,No,$11-30,Hao Noodle Chelsea,"Meatpacking District, Chelsea",4.0,88.0,10014,343 W 14th St,Chinese
565,,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,B,,,Average,No,Street,Yes,Yes,,,No,$11-30,Grand Sichuan Eastern,Chelsea,3.0,102.0,10011,172 8th Ave,Chinese
566,,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Grand Sichuan,Chelsea,3.5,413.0,10001,229 9th Ave,Chinese
567,No,No,Beer & Wine Only,Casual,Casual,No,Noodles; Chinese; Taiwanese; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,B,,,Average,No,Street,Yes,No,Yes,No,No,$11-30,Shorty Tang Noodle Shop,Chelsea,3.5,167.0,10011,98 8th Ave,Chinese
571,No,Yes,No,Casual,Casual,No,Asian Fusion; Korean; Salad; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,,Yes,,Yes,No,C,Yes,Yes,Average,No,Street,Yes,No,No,Yes,Free,$11-30,Som Bo,Chelsea,4.0,127.0,10011,143 8th Ave,Chinese
574,No,Yes,Full Bar,"Casual, Trendy, Intimate, Romantic, Classy",Casual,Yes,Cuban; Chinese; Asian Fusion; ,Yes,Yes,No,Yes,"Breakfast, Brunch, Lunch, Dinner, Dessert",Yes,Yes,Yes,,,,No,A,Yes,,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Calle Dao - Chelsea,Chelsea,4.5,364.0,10011,461 W 23rd St,Chinese
575,,,,,,,Chinese; ,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yang?s Chinese Food,"Meatpacking District, West Village",2.5,2.0,10014,304 W 14th St,Chinese
576,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Korean; Asian Fusion; Ramen; ,Yes,Yes,No,,"Lunch, Dinner",No,No,,,,,No,A,,Yes,Average,No,"Garage, Street",Yes,No,Yes,Yes,Free,$11-30,mokbar,"Meatpacking District, Chelsea",3.5,516.0,10011,75 9th Ave,Chinese
577,No,Yes,Full Bar,Casual,,Yes,Vietnamese; Noodles; Sandwiches; ,Yes,Yes,,,Dinner,Yes,No,,,,,No,B,,,Average,No,Street,Yes,Yes,,,No,$11-30,Co Ba,Chelsea,3.5,224.0,10011,110 9th Ave,Chinese
578,,No,No,,Casual,Yes,Chinese; ,,Yes,,,,No,Yes,,,,,No,B,,,Average,No,,Yes,No,,,No,Under $10,Chelsea Golden Wok,Chelsea,3.0,48.0,10011,209 8th Ave,Chinese
580,,Yes,No,Divey,Casual,Yes,Chinese; ,No,Yes,,,,No,Yes,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Christopher?s Golden Woks,West Village,3.5,49.0,10014,159 Christopher St,Chinese
581,No,Yes,Full Bar,Casual,Casual,Yes,Hot Pot; Szechuan; Dim Sum; ,Yes,Yes,No,,,Yes,Yes,,,,,Yes,B,,,,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,New Legend,Chelsea,3.0,29.0,10011,88 7th Ave,Chinese
582,,,,,,,Asian Fusion; Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Philippe by Philippe Chow,Chelsea,,,10011,355 W 16th St,Chinese
583,,Yes,Full Bar,Trendy,Casual,Yes,Dim Sum; Asian Fusion; Cantonese; ,No,No,,Yes,Dinner,Yes,No,,,,,No,,,,Average,No,Street,Yes,No,,,No,$31-60,RedFarm,West Village,3.5,613.0,10014,529 Hudson St,Chinese
584,,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; Noodles; Soup; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,,,Yes,Average,No,Street,Yes,No,Yes,,No,$11-30,Sammy?s Noodle Shop & Grill,West Village,3.5,420.0,10011,453 Ave Of The Americas,Chinese
585,,,,,,,Chinese; ,,,,,,,,,,,,,,,,,,,,,,,,,Shanghai Bun,"Meatpacking District, West Village",,,07747,952 State Rt 34,Chinese
605,,Yes,Full Bar,Trendy,Dressy,Yes,Asian Fusion; Sushi Bars; Seafood; ,No,Yes,,,Dinner,Yes,No,,Yes,Yes,,No,A,Yes,Yes,Loud,Yes,Street,Yes,Yes,Yes,Yes,Free,$31-60,Catch NYC,"Meatpacking District, West Village",3.5,1825.0,10014,21 9th Ave,Chinese
606,,No,No,,Casual,Yes,Chinese; ,Yes,Yes,,,"Lunch, Dinner",No,Yes,,,,,No,A,,,Average,No,Street,Yes,No,,,No,Under $10,Chinese Fast Wok - Eat In & Take Out,Chelsea,3.0,57.0,10011,230 7th Ave,Chinese
607,No,Yes,No,Casual,Casual,Yes,Chinese; Noodles; ,Yes,Yes,No,Yes,Lunch,Yes,Yes,No,,,,No,A,,,Average,No,Street,Yes,No,Yes,Yes,No,$11-30,South Of The Clouds,Greenwich Village,4.0,130.0,10011,16 W 8th St,Chinese
608,,Yes,Full Bar,Casual,Casual,Yes,Asian Fusion; Chinese; Thai; ,Yes,Yes,,Yes,Dinner,Yes,No,,,,,No,A,,,Average,Yes,Street,Yes,Yes,,,No,$11-30,Chop Shop,Chelsea,3.5,217.0,10001,254 10th Ave,Chinese
609,,Yes,No,,Casual,Yes,Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,Average,No,,Yes,No,,,,Under $10,New Dynasty Chinese Restaurant,"Chelsea, Midtown West",2.5,19.0,10001,393 8th Ave,Chinese
610,,Yes,Full Bar,Classy,Dressy,No,American (New); French; Asian Fusion; ,No,No,,Yes,Dinner,Yes,No,No,,,,No,,,Yes,Average,No,Street,No,Yes,,,No,$31-60,Perry St,West Village,4.0,885.0,10014,176 Perry St,Chinese
611,,Yes,Full Bar,Casual,Casual,Yes,Thai; Noodles; Cocktail Bars; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,No,,,No,$11-30,Pad Thai Noodle Lounge,Chelsea,3.0,281.0,10011,114 8th Ave,Chinese
612,,Yes,Full Bar,"Hipster, Casual, Trendy",Casual,Yes,Filipino; Asian Fusion; Mexican; ,Yes,Yes,,Yes,"Lunch, Dinner",No,No,,,,,No,,,Yes,Average,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Flip Sigi,West Village,4.0,591.0,10014,525 Hudson St,Chinese
613,No,Yes,Beer & Wine Only,"Intimate, Romantic, Classy",,No,Thai; Asian Fusion; Chicken Wings; ,Yes,Yes,No,Yes,Dinner,Yes,Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Pinto Garden,West Village,4.0,148.0,10011,117 W 10th St,Chinese
614,,Yes,No,,,Yes,Chinese; Fast Food; ,,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,,Yes,No,No,,No,Under $10,Panda Express,Midtown West,3.0,49.0,10001,414 Eighth Ave,Chinese
616,No,Yes,Beer & Wine Only,Casual,Casual,No,Chinese; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,Yes,,,Free,$11-30,Hunan Manor,"Murray Hill, Midtown East",3.5,269.0,10016,339 Lexington Ave,Chinese
625,No,Yes,Beer & Wine Only,Classy,Casual,Yes,Chinese; Tea Rooms; Venues & Event Spaces; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,Yes,A,,Yes,Quiet,No,Street,Yes,Yes,,,No,$11-30,Radiance,Midtown East,4.0,147.0,10022,208 E 50th St2nd & 3rd Ave,Chinese
626,,Yes,Beer & Wine Only,"Casual, Classy",Casual,No,Shanghainese; Dim Sum; Szechuan; ,Yes,Yes,No,,"Brunch, Lunch, Dinner",Yes,Yes,,Yes,,,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,,Free,$11-30,Jasmine Restaurant,Midtown East,4.0,181.0,10017,216 E 49th St,Chinese
627,,Yes,Full Bar,Casual,Casual,Yes,Szechuan; ,No,Yes,,,"Lunch, Dinner",Yes,Yes,,,,,No,B,,Yes,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Wu Liang Ye,Midtown West,3.5,471.0,10036,36 W 48th St,Chinese
628,No,Yes,Full Bar,"Casual, Intimate, Classy",Casual,No,Chinese; Indian; Breakfast & Brunch; ,Yes,Yes,No,Yes,"Brunch, Lunch, Dinner, Dessert",Yes,Yes,Yes,Yes,Yes,,No,A,Yes,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Spice Symphony,Midtown East,4.5,291.0,10022,150 E 50th St,Chinese
629,,Yes,No,Casual,Casual,No,Szechuan; Dim Sum; Asian Fusion; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,Yes,,,Yes,B,,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Savour Sichuan,Midtown West,3.5,177.0,10018,108 W 39th St,Chinese
631,No,Yes,Full Bar,,Casual,No,Asian Fusion; Sushi Bars; ,Yes,Yes,,,"Dinner, Dessert",Yes,Yes,Yes,,,,Yes,A,,Yes,Average,No,"Garage, Street",Yes,Yes,Yes,Yes,No,$11-30,Sachi Asian Bistro,"Murray Hill, Midtown East",4.0,177.0,10016,713 2nd Ave,Chinese
633,,Yes,No,Casual,Casual,Yes,Chinese; ,No,Yes,,,Lunch,Yes,Yes,,,,,No,A,,,Loud,No,Street,Yes,No,,,No,Under $10,Hop Won Restaurant,Midtown East,3.0,137.0,10017,139 E 45th St,Chinese
636,No,Yes,No,,,No,Noodles; Dim Sum; Fast Food; ,Yes,Yes,No,,,Yes,No,,,,,No,,,,,No,Street,Yes,Yes,No,Yes,Free,,Hong Kong Food Town,Midtown West,3.5,14.0,10036,48 W 48TH StSte 1,Chinese
637,No,Yes,No,,Casual,No,Chinese; Seafood; Soup; ,Yes,Yes,No,,,Yes,Yes,,,,,Yes,A,,,Average,No,Street,Yes,No,No,No,No,Under $10,Profit Chinese Restaurant II,"Murray Hill, Midtown East",3.0,24.0,10016,643 2nd Ave,Chinese
638,,Yes,Full Bar,Casual,,,Chinese; ,,Yes,,,"Lunch, Dinner",Yes,Yes,,Yes,,,No,,Yes,Yes,,No,,Yes,Yes,,,No,$11-30,Málà Project,Midtown West,3.5,124.0,10036,41 W 46th St,Chinese
640,No,Yes,Full Bar,,Casual,No,Chinese; ,Yes,Yes,,,Dinner,Yes,Yes,,,,,No,B,,,Average,No,"Garage, Street",Yes,Yes,,,No,$31-60,Peking Duck House,Midtown East,3.5,381.0,10022,236 E 53rd St,Chinese
641,,Yes,Full Bar,Casual,Casual,Yes,Chinese; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,B,,,Average,No,Street,Yes,Yes,,,No,$11-30,Mapo Tofu,"Murray Hill, Midtown East",3.5,287.0,10016,338 Lexington Ave,Chinese
642,,Yes,,,,,Noodles; Chinese; ,,Yes,,,,No,Yes,,,,,No,A,,,,,,Yes,No,,,,$11-30,Little Tong Noodle Shop,Midtown East,4.5,27.0,10022,235 E 53rd St,Chinese
664,,Yes,No,Casual,Casual,Yes,Chinese; ,No,Yes,,,"Lunch, Dinner",No,Yes,,,,,No,A,,,Average,No,Street,Yes,No,,Yes,No,Under $10,East Palace,Midtown East,3.0,78.0,10017,819 2nd Ave,Chinese
665,No,Yes,No,"Casual, Trendy",Casual,Yes,Noodles; Salad; Vegetarian; ,Yes,Yes,No,,Lunch,No,No,,,,,No,A,Yes,Yes,Loud,No,Street,Yes,No,No,Yes,Free,$11-30,minigrow,"Midtown East, Murray Hill",4.0,81.0,10017,285 Madison Ave,Chinese
667,,Yes,Full Bar,Casual,Casual,Yes,Szechuan; ,Yes,Yes,,,"Lunch, Dinner",Yes,Yes,,Yes,Yes,,Yes,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,,Free,$11-30,Hot Kitchen,Midtown East,3.5,159.0,10022,251 E 53rd St,Chinese
669,No,Yes,Full Bar,"Trendy, Romantic, Upscale",Dressy,No,Chinese; ,No,No,No,Yes,Dinner,Yes,No,,,,,No,A,Yes,,Average,Yes,"Garage, Street",Yes,Yes,Yes,Yes,Free,Above $61,DaDong New York,"Theater District, Midtown West",3.0,460.0,10036,3 Bryant Park,Chinese
671,,Yes,No,Casual,Casual,Yes,Chinese; ,No,Yes,,,"Lunch, Dinner",No,No,,,,,No,A,,,Average,No,,Yes,No,,,No,Under $10,Six Happiness,"Murray Hill, Midtown East",2.5,102.0,10016,711 2nd Ave,Chinese
674,No,Yes,Beer & Wine Only,Casual,Casual,No,Chinese; Noodles; Burgers; ,No,No,No,Yes,"Lunch, Dinner",No,Yes,,,,,No,A,Yes,Yes,Average,No,Street,Yes,No,No,Yes,No,Under $10,Xi?an Famous Foods,"Upper East Side, Yorkville",4.0,428.0,10075,328 E 78th St,Chinese
675,,Yes,No,Casual,Casual,Yes,Chinese; ,Yes,Yes,,,,No,Yes,,,,,No,A,,Yes,Quiet,No,Street,Yes,No,,,No,Under $10,Shanghai,Upper East Side,4.0,76.0,10021,1388 2nd Ave,Chinese
