,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
113,Namaste Himalayan,1086 River Rd,07020,1,5.0,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,NA,NA,NA,NA,No,Yes,Yes,Free,NA,No,Yes,Yes,Indian; Asian Fusion; ,NA,Yes,Yes,Yes,NA,NA,Yes
114,Ashoka Indian Restaurant,489 Columbus Ave,10024,204,4.5,Upper West Side,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,NA,Yes,Free,Yes,No,Yes,Yes,Indian; ,Yes,Yes,Yes,Yes,"Lunch, Dinner","Casual, Trendy, Intimate, Romantic, Classy",Yes
115,Ayurveda Cafe,706 Amsterdam Ave,10025,285,4.0,Upper West Side,B,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Quiet,Beer & Wine Only,NA,No,Free,No,NA,NA,Yes,Indian; Vegan; Pakistani; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,NA
116,indikitch,940 8th Ave,10019,388,4.0,"Midtown West, Hell's Kitchen",A,$11-30,Yes,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,No,No,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
117,Hungry Bird,980 Morris Ave,10456,167,4.5,Concourse,A,$11-30,Yes,No,Yes,Yes,Yes,NA,Street,No,NA,Yes,Yes,Casual,Quiet,No,NA,No,No,No,NA,Yes,Yes,Indian; Salad; Soup; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,NA
118,Aaheli Indian Cuisine,826 9th Ave,10019,351,4.0,"Hell's Kitchen, Midtown West",A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Average,No,NA,No,No,No,NA,Yes,No,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
119,Om Restaurant,1593 2nd Ave,10028,453,4.0,"Yorkville, Upper East Side",A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,No,NA,Yes,No,Casual,Average,No,NA,No,No,No,NA,NA,Yes,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
120,Saar Indian Bistro,241 W 51st St,10019,71,4.5,"Theater District, Midtown West",NA,$11-30,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,Beer & Wine Only,NA,No,Free,No,NA,NA,NA,Indian; Vegetarian; ,NA,NA,Yes,NA,NA,NA,NA
121,Mumbai Masala,1768 Amsterdam Ave,10031,132,4.5,Harlem,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,No,NA,No,Free,No,NA,Yes,Yes,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
122,Szechaun Mirchi,633 Anderson Ave,07010,160,3.5,NA,NA,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,No,Yes,Yes,Casual,Average,No,NA,No,No,No,No,Yes,Yes,Asian Fusion; Chinese; Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
123,Moti Mahal Delux,1149 1st Ave,10065,413,4.0,Upper East Side,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,No,NA,NA,Yes,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
124,Punjab On Third,220 3rd Ave,10003,4,3.5,Gramercy,NA,Under $10,NA,No,NA,Yes,NA,NA,NA,No,NA,No,No,Casual,NA,NA,NA,NA,NA,No,NA,NA,NA,Indian; Pakistani; ,NA,NA,NA,NA,NA,NA,NA
125,Spice Symphony,182 Lexington Ave,10016,520,4.0,Midtown East,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,NA,Yes,Yes,Indian; Chinese; Salad; ,NA,NA,NA,NA,Dinner,Casual,Yes
126,Pondicheri,15 W 27th St,10001,258,3.5,Flatiron,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,No,Free,No,No,Yes,Yes,Indian; Bars; Bakeries; ,NA,NA,Yes,NA,"Brunch, Lunch, Dinner","Casual, Trendy",Yes
127,Desi Galli,101 Lexington Ave,10016,278,3.5,"Kips Bay, Flatiron",B,Under $10,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,Free,No,NA,NA,Yes,Indian; ,NA,NA,NA,Yes,Lunch,Casual,Yes
128,Bombay Sandwich,48 W 27th St,10001,359,4.0,Flatiron,A,$11-30,Yes,No,Yes,Yes,Yes,No,"Garage, Street",Yes,NA,Yes,No,Casual,Average,No,NA,Yes,No,No,NA,NA,Yes,Indian; ,NA,NA,Yes,Yes,Lunch,Casual,NA
129,Chote Nawab,115 Lexington Ave,10016,489,3.5,"Kips Bay, Flatiron",A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,Yes,Yes,Indian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
130,Deccan Spice,120 Lexington Ave,10016,125,4.0,Flatiron,P,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,No,Yes,Yes,Casual,Quiet,Full Bar,NA,No,Free,No,No,Yes,Yes,Indian; Halal; ,NA,NA,NA,NA,"Lunch, Dinner, Dessert",Casual,NA
131,Pongal,110 Lexington Ave,10016,415,3.5,Flatiron,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,No,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,Free,No,NA,NA,Yes,Indian; Vegetarian; ,NA,NA,Yes,Yes,"Lunch, Dinner",Casual,Yes
132,Kailash Parbat,99 Lexington Ave,10016,247,3.5,"Kips Bay, Flatiron",A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,No,Yes,Yes,Indian; Vegetarian; ,Yes,Yes,Yes,Yes,"Lunch, Dinner",Casual,Yes
