,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
42,Marjan Kebob House - Persian Grill,2122 Boston Post Rd,10538,39,4.0,NA,91 out of 100,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,No,Dressy,Quiet,Beer & Wine Only,NA,Yes,Free,No,NA,Yes,Yes,Persian/Iranian; Middle Eastern; ,NA,NA,NA,NA,Dinner,NA,Yes
43,Zendiggi Kebab House,228 Closter Dock Rd,07624,125,4.0,NA,NA,$11-30,NA,No,Yes,Yes,Yes,NA,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,Yes,Yes,Persian/Iranian; Middle Eastern; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
44,Ravagh Persian Grill,210 Mineola Ave,11577,236,4.0,NA,68 out of 100,$11-30,Yes,Yes,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,Yes,Yes,Middle Eastern; Persian/Iranian; Seafood; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,Yes
45,Kabob On The Cliff,66 Park Ave,07070,78,4.5,NA,NA,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,Yes,Yes,Yes,Casual,Average,No,No,No,Free,Yes,No,Yes,Yes,Kebab; Persian/Iranian; Halal; ,NA,Yes,NA,Yes,"Brunch, Lunch, Dinner, Dessert",Casual,Yes
46,Colbeh,75 N Station Plz,11021,71,4.0,Floral Park,64 out of 100,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Dressy,Average,Full Bar,NA,No,Free,No,No,NA,Yes,Persian/Iranian; Kosher; ,NA,NA,NA,NA,"Dinner, Dessert",Classy,NA
47,Shiraz,770 Middle Neck Rd,11024,34,3.5,Floral Park,63 out of 100,$11-30,NA,Yes,Yes,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Dressy,Average,Full Bar,NA,Yes,Free,Yes,NA,NA,Yes,Persian/Iranian; Mediterranean; ,NA,NA,NA,NA,NA,Classy,NA
48,Azerbaijan Grill,1610 Old Country Rd,11590,234,4.0,NA,78 out of 100,$11-30,Yes,Yes,No,Yes,Yes,NA,Private Lot,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,No,Yes,No,Turkish; Mediterranean; Persian/Iranian; ,NA,NA,Yes,NA,"Lunch, Dinner",Casual,Yes
49,Miraj Healthy Grill,171 Hillside Ave,11596,178,3.5,Bellerose,62 out of 100,$11-30,Yes,Yes,No,Yes,No,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,Yes,NA,NA,Yes,Persian/Iranian; Mediterranean; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
50,Kebab House,25505 Northern Blvd,11362,82,4.0,Douglaston,A,$11-30,Yes,Yes,No,Yes,Yes,NA,"Street, Private Lot",No,NA,Yes,Yes,Casual,Quiet,Beer & Wine Only,NA,No,Free,No,NA,NA,Yes,Mediterranean; Turkish; Kebab; ,NA,NA,Yes,NA,Dinner,Casual,Yes
51,Chatanooga Restaurant,37 Cutter Mill Rd,11021,29,3.5,Oakland Gardens,73 out of 100,$31-60,NA,Yes,Yes,Yes,Yes,NA,Street,No,NA,Yes,Yes,Dressy,Average,Full Bar,NA,Yes,No,No,NA,NA,Yes,Persian/Iranian; ,NA,NA,NA,NA,NA,"Classy, Upscale",NA
52,Patoug Restaurant,220-06 Horace Harding Expwy,11364,37,3.0,Oakland Gardens,A,$11-30,NA,Yes,Yes,Yes,Yes,NA,Street,No,NA,Yes,Yes,Casual,Quiet,Full Bar,NA,No,No,Yes,NA,NA,Yes,Persian/Iranian; ,NA,NA,NA,NA,NA,NA,NA
53,Sufiya’s Grill,2057 Merrick Rd,11566,125,4.0,NA,79 out of 100,$11-30,NA,Yes,Yes,Yes,Yes,No,Private Lot,No,Yes,Yes,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,No,Yes,Yes,Persian/Iranian; Mediterranean; Turkish; ,NA,NA,NA,NA,"Lunch, Dinner",Classy,NA
54,Colbeh,1 Intervale Ave,11577,27,3.5,NA,38 out of 100,$11-30,NA,Yes,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,Yes,NA,NA,Yes,Persian/Iranian; Kosher; ,NA,NA,NA,NA,NA,"Intimate, Classy",Yes
55,Lisa’s Mediterranean Cuisine,28 Oak St,07450,133,4.0,NA,NA,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,No,NA,Yes,Free,No,NA,NA,Yes,Mediterranean; Turkish; Middle Eastern; ,NA,NA,NA,NA,"Lunch, Dinner",NA,Yes
56,Colbeh Caters,5427 Little Neck Pkwy,11362,4,4.0,Douglaston,B,NA,NA,Yes,NA,No,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caterers; Persian/Iranian; Kosher; ,NA,NA,NA,NA,NA,NA,NA
