,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
18,NA,Yes,Full Bar,Trendy,Casual,Yes,Mexican; ,Yes,Yes,NA,NA,Dinner,Yes,Yes,Yes,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$31-60,Rosa Mexicano,Flatiron,3.5,1366,10003,9 E 18th St
19,NA,NA,NA,NA,NA,NA,Mexican; ,NA,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A,Yes,Yes,NA,NA,NA,Yes,No,NA,NA,NA,NA,Holi Mole,Nolita,4.5,22,10012,250 Mott St
20,No,Yes,Beer & Wine Only,Casual,NA,No,Mexican; Juice Bars & Smoothies; Sandwiches; ,Yes,Yes,No,NA,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Loud,No,Street,Yes,No,Yes,Yes,No,$11-30,Tacombi - Bleecker Street,West Village,3.5,289,10014,255 Bleecker St
21,NA,Yes,Full Bar,NA,NA,NA,Mexican; ,NA,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,NA,Yes,NA,No,Yes,NA,NA,No,$11-30,Oxomoco,Greenpoint,4.0,92,11222,128 Greenpoint Ave
22,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Mexican; Vegetarian; Vegan; ,Yes,Yes,No,Yes,"Lunch, Dinner",No,Yes,Yes,Yes,Yes,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,No,Yes,No,Free,$11-30,Hotel Tortuga,East Village,3.5,466,10003,246 E 14th St
23,No,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mexican; Breakfast & Brunch; Cocktail Bars; ,No,No,NA,Yes,"Brunch, Lunch, Dinner",No,No,No,NA,NA,Yes,No,A,Yes,Yes,Average,Yes,NA,No,No,Yes,Yes,No,$11-30,Atla,NoHo,3.5,197,10012,372 Lafayette St
24,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; ,No,Yes,NA,NA,Dinner,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,Yes,Street,Yes,No,Yes,NA,No,$11-30,Vamos Al Tequila,Greenpoint,3.5,257,11222,162 Franklin St
25,NA,Yes,Beer & Wine Only,Divey,Casual,Yes,Mexican; Grocery; ,No,Yes,NA,Yes,"Lunch, Dinner",No,No,NA,NA,NA,NA,Yes,NA,NA,NA,Average,No,Street,Yes,NA,NA,NA,No,Under $10,Zaragoza Mexican Deli & Grocery,"East Village, Alphabet City",4.0,289,10009,215 Ave A
26,NA,Yes,Full Bar,Trendy,Casual,Yes,Mexican; Bars; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Dos Caminos,Flatiron,3.5,1078,10016,373 Park Ave S
27,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; Breakfast & Brunch; ,Yes,Yes,NA,NA,Brunch,Yes,No,Yes,NA,NA,NA,Yes,A,Yes,Yes,Average,Yes,Street,Yes,Yes,NA,NA,Free,$11-30,Vamos! Tacos & Tequila,Stuyvesant Town,3.5,400,10010,348 1st Ave
28,NA,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mexican; Bars; Breakfast & Brunch; ,Yes,Yes,NA,Yes,"Brunch, Lunch",Yes,Yes,Yes,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Villa Cemita,"East Village, Alphabet City",4.0,265,10009,50 Ave A
29,NA,Yes,Full Bar,Casual,Casual,Yes,Mexican; Breakfast & Brunch; Cocktail Bars; ,No,No,NA,NA,Dinner,Yes,No,No,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,No,Yes,NA,NA,No,$11-30,Gran Electrica,DUMBO,3.5,425,11201,5 Front St
30,NA,Yes,Full Bar,"Hipster, Casual",Casual,Yes,Mexican; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,No,Yes,NA,NA,NA,Yes,A,NA,NA,Loud,Yes,Street,Yes,Yes,Yes,Yes,Free,$11-30,Lenita,Financial District,3.5,56,10004,7 Hanover Square
31,NA,Yes,Full Bar,Trendy,Casual,Yes,Mexican; Tapas/Small Plates; Tapas Bars; ,Yes,Yes,NA,Yes,"Brunch, Lunch, Dinner",Yes,No,Yes,NA,NA,NA,No,NA,NA,Yes,Average,Yes,Street,Yes,Yes,Yes,No,Free,$11-30,Anejo Tribeca,TriBeCa,3.5,265,10013,301 Church St
32,No,Yes,Full Bar,Trendy,Dressy,Yes,Bars; American (New); ,No,No,No,Yes,Dinner,Yes,No,Yes,NA,NA,NA,No,NA,NA,NA,Average,No,Street,No,Yes,Yes,Yes,No,$31-60,Chefs Club,Nolita,4.0,374,10012,275 Mulberry St
33,NA,Yes,Full Bar,NA,Casual,No,American (New); Steakhouses; ,No,No,NA,Yes,Dinner,Yes,No,NA,NA,NA,NA,No,A,NA,Yes,Average,Yes,Street,No,Yes,NA,NA,No,$31-60,David Burke Kitchen,South Village,3.5,1121,10013,23 Grand St
34,No,Yes,Full Bar,"Casual, Trendy",Casual,Yes,Mexican; Breakfast & Brunch; Cocktail Bars; ,No,No,NA,Yes,"Brunch, Lunch, Dinner",No,No,No,NA,NA,Yes,No,A,Yes,Yes,Average,Yes,NA,No,No,Yes,Yes,No,$11-30,Atla,NoHo,3.5,197,10012,372 Lafayette St
35,No,Yes,No,Casual,Casual,No,Mexican; ,Yes,Yes,No,NA,Lunch,No,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,No,Yes,Free,Under $10,Choza Taqueria,Financial District,3.0,43,10007,185 Greenwich St
36,NA,NA,NA,NA,NA,NA,Mexican; ,NA,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,A,Yes,Yes,NA,NA,NA,Yes,No,NA,NA,NA,NA,Holi Mole,Nolita,4.5,22,10012,250 Mott St
37,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Mexican; ,No,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Loud,Yes,Street,Yes,No,NA,NA,No,Under $10,Taco Bar,"NoHo, East Village",3.5,67,10003,358 Bowery
38,NA,Yes,Full Bar,Trendy,Casual,No,Seafood; Sushi Bars; Bars; ,Yes,Yes,NA,NA,Dinner,Yes,No,Yes,Yes,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,NA,Free,$31-60,Lure Fishbar - New York,SoHo,4.0,1513,33139,142 Mercer St
