,0
74,http://www.yelp.com/biz/han-dynasty-new-york-4?osq=Chinese+restaurants
75,http://www.yelp.com/biz/great-wok-new-york?osq=Chinese+restaurants
76,http://www.yelp.com/biz/szechuan-garden-kitchen-new-york?osq=Chinese+restaurants
77,http://www.yelp.com/biz/red-star-restaurant-new-york?osq=Chinese+restaurants
78,http://www.yelp.com/biz/hung-chow-restaurant-new-york?osq=Chinese+restaurants
79,http://www.yelp.com/biz/teng-dragon-new-york?osq=Chinese+restaurants
80,http://www.yelp.com/biz/wing-wah-restaurant-new-york?osq=Chinese+restaurants
81,http://www.yelp.com/biz/spice-noodle-new-york-3?osq=Chinese+restaurants
82,http://www.yelp.com/biz/wing-gong-i-kitchen-new-york?osq=Chinese+restaurants
83,http://www.yelp.com/biz/la-salle-dumpling-room-new-york?osq=Chinese+restaurants
84,http://www.yelp.com/biz/fu-wing-chinese-restaurant-new-york?osq=Chinese+restaurants
85,http://www.yelp.com/biz/xian-famous-foods-new-york-8?osq=Chinese+restaurants
86,http://www.yelp.com/biz/empire-corner-ii-new-york?osq=Chinese+restaurants
87,http://www.yelp.com/biz/han-dynasty-new-york?osq=Chinese+restaurants
88,http://www.yelp.com/biz/dian-kitchen-new-york-2?osq=Chinese+restaurants
89,http://www.yelp.com/biz/clay-pot-nyc-new-york-3?osq=Chinese+restaurants
90,http://www.yelp.com/biz/uluh-new-york?osq=Chinese+restaurants
91,http://www.yelp.com/biz/silky-kitchen-new-york-3?osq=Chinese+restaurants
92,http://www.yelp.com/biz/xian-famous-foods-new-york-3?osq=Chinese+restaurants
93,http://www.yelp.com/biz/hunan-slurp-new-york-2?osq=Chinese+restaurants
94,http://www.yelp.com/biz/m%C3%A1l%C3%A0-project-new-york?osq=Chinese+restaurants
95,http://www.yelp.com/biz/dun-huang-new-york-4?osq=Chinese+restaurants
96,http://www.yelp.com/biz/gala-bbq-new-york-2?osq=Chinese+restaurants
97,http://www.yelp.com/biz/szechuan-mountain-house-new-york-2?osq=Chinese+restaurants
98,http://www.yelp.com/biz/the-dumpling-shop-new-york-2?osq=Chinese+restaurants
99,http://www.yelp.com/biz/tuome-new-york-2?osq=Chinese+restaurants
100,http://www.yelp.com/biz/hunan-bistro-new-york?osq=Chinese+restaurants
101,http://www.yelp.com/biz/the-bao-new-york?osq=Chinese+restaurants
102,http://www.yelp.com/biz/chong-qing-xiao-mian-ii-new-york?osq=Chinese+restaurants
103,http://www.yelp.com/biz/the-tang-new-york?osq=Chinese+restaurants
104,http://www.yelp.com/biz/ho-foods-new-york-3?osq=Chinese+restaurants
105,http://www.yelp.com/biz/little-tong-noodle-shop-new-york?osq=Chinese+restaurants
106,http://www.yelp.com/biz/le-sia-new-york?osq=Chinese+restaurants
107,http://www.yelp.com/biz/carma-east-new-york-2?osq=Chinese+restaurants
108,http://www.yelp.com/biz/886-new-york?osq=Chinese+restaurants
109,http://www.yelp.com/biz/shu-jiao-fu-zhou-cuisine-restaurant-new-york?osq=Chinese+restaurants
110,http://www.yelp.com/biz/joes-shanghai-new-york-2?osq=Chinese+restaurants
111,http://www.yelp.com/biz/just-for-fen-new-york?osq=Chinese+restaurants
112,http://www.yelp.com/biz/tim-ho-wan-new-york-2?osq=Chinese+restaurants
113,http://www.yelp.com/biz/shu-han-ju-ii-new-york-2?osq=Chinese+restaurants
114,http://www.yelp.com/biz/hot-kitchen-skewer-hotpot-and-bbq-new-york?osq=Chinese+restaurants
115,http://www.yelp.com/biz/nunoodle-new-york-2?osq=Chinese+restaurants
116,http://www.yelp.com/biz/szechuan-mountain-house-new-york-2?osq=Chinese+restaurants
117,http://www.yelp.com/biz/the-dumpling-shop-new-york-2?osq=Chinese+restaurants
118,http://www.yelp.com/biz/tuome-new-york-2?osq=Chinese+restaurants
119,http://www.yelp.com/biz/hunan-bistro-new-york?osq=Chinese+restaurants
120,http://www.yelp.com/biz/the-bao-new-york?osq=Chinese+restaurants
121,http://www.yelp.com/biz/chong-qing-xiao-mian-ii-new-york?osq=Chinese+restaurants
122,http://www.yelp.com/biz/the-tang-new-york?osq=Chinese+restaurants
123,http://www.yelp.com/biz/ho-foods-new-york-3?osq=Chinese+restaurants
124,http://www.yelp.com/biz/little-tong-noodle-shop-new-york?osq=Chinese+restaurants
125,http://www.yelp.com/biz/le-sia-new-york?osq=Chinese+restaurants
126,http://www.yelp.com/biz/carma-east-new-york-2?osq=Chinese+restaurants
127,http://www.yelp.com/biz/886-new-york?osq=Chinese+restaurants
128,http://www.yelp.com/biz/shu-jiao-fu-zhou-cuisine-restaurant-new-york?osq=Chinese+restaurants
129,http://www.yelp.com/biz/joes-shanghai-new-york-2?osq=Chinese+restaurants
130,http://www.yelp.com/biz/just-for-fen-new-york?osq=Chinese+restaurants
131,http://www.yelp.com/biz/tim-ho-wan-new-york-2?osq=Chinese+restaurants
132,http://www.yelp.com/biz/shu-han-ju-ii-new-york-2?osq=Chinese+restaurants
133,http://www.yelp.com/biz/hot-kitchen-skewer-hotpot-and-bbq-new-york?osq=Chinese+restaurants
134,http://www.yelp.com/biz/nunoodle-new-york-2?osq=Chinese+restaurants
135,http://www.yelp.com/biz/the-braised-shop-new-york?osq=Chinese+restaurants
136,http://www.yelp.com/biz/new-double-dragon-new-york-3?osq=Chinese+restaurants
137,http://www.yelp.com/biz/a-and-c-kitchen-new-york-2?osq=Chinese+restaurants
138,http://www.yelp.com/biz/mee-noodle-shop-and-grill-new-york-4?osq=Chinese+restaurants
139,http://www.yelp.com/biz/99-favor-taste-new-york-13?osq=Chinese+restaurants
140,http://www.yelp.com/biz/wah-fung-no-1-fast-food-new-york-3?osq=Chinese+restaurants
141,http://www.yelp.com/biz/baohaus-new-york-2?osq=Chinese+restaurants
142,http://www.yelp.com/biz/shimiaodao-yunnan-rice-noodle-new-york-5?osq=Chinese+restaurants
143,http://www.yelp.com/biz/chow-house-new-york?osq=Chinese+restaurants
144,http://www.yelp.com/biz/hui-fu-chinese-cuisine-new-york?osq=Chinese+restaurants
145,http://www.yelp.com/biz/tangra-new-york?osq=Chinese+restaurants
146,http://www.yelp.com/biz/chop-shop-ii-new-york-2?osq=Chinese+restaurants
147,http://www.yelp.com/biz/lotus-blue-new-york-2?osq=Chinese+restaurants
148,http://www.yelp.com/biz/han-dynasty-new-york?osq=Chinese+restaurants
149,http://www.yelp.com/biz/homes-kitchen-chinese-restaurant-new-york-2?osq=Chinese+restaurants
150,http://www.yelp.com/biz/auntie-guans-kitchen-108-new-york?osq=Chinese+restaurants
151,http://www.yelp.com/biz/burp-bowl-cafe-new-york-6?osq=Chinese+restaurants
152,http://www.yelp.com/biz/chengdu-house-new-york?osq=Chinese+restaurants
153,http://www.yelp.com/biz/taste-good-new-york?osq=Chinese+restaurants
154,http://www.yelp.com/biz/silky-kitchen-new-york-3?osq=Chinese+restaurants
155,http://www.yelp.com/biz/the-chinese-club-nyc-desiwala-chinese-new-york?osq=Chinese+restaurants
156,http://www.yelp.com/biz/caf%C3%A9-china-new-york-2?osq=Chinese+restaurants
157,http://www.yelp.com/biz/bao-bao-cafe-new-york-2?osq=Chinese+restaurants
158,http://www.yelp.com/biz/noodle-king-of-nyc-new-york-2?osq=Chinese+restaurants
159,http://www.yelp.com/biz/jue-lan-club-new-york?osq=Chinese+restaurants
160,http://www.yelp.com/biz/excellent-dumpling-house-new-york-3?osq=Chinese+restaurants
161,http://www.yelp.com/biz/dun-huang-grand-central-new-york-4?osq=Chinese+restaurants
162,http://www.yelp.com/biz/bang-chengdu-street-kitchen-new-york-2?osq=Chinese+restaurants
163,http://www.yelp.com/biz/gala-bbq-new-york-2?osq=Chinese+restaurants
164,http://www.yelp.com/biz/zest-szechuan-new-york?osq=Chinese+restaurants
